drug_no,name,source_link,type
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VD-26608-17,Tanganil,dav.gov.vn,drug
VD-26608-17,Tanganil,dav.gov.vn,drug
VN-14218-11,Stugeron,dav.gov.vn,drug
VD-16965-12,Opecalcium,dav.gov.vn,drug
VN-14218-11,Stugeron,dav.gov.vn,drug
VD-16965-12,Opecalcium,dav.gov.vn,drug
VD-16965-12,Opecalcium,dav.gov.vn,drug
VD-16965-12,Opecalcium,dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg,dav.gov.vn,drug
VN-20168-16,Calcium Sandoz 500mg,dav.gov.vn,drug
VN-19762-16,Systane Ultra,dav.gov.vn,drug
"VD-14758-11, VD-14757-11, VD-14756-11",Tydol,dav.gov.vn,drug
QLSP-955-16,Enterogolds,dav.gov.vn,drug
QLSP-954-16,Enterogran,dav.gov.vn,drug
VD-25066-16,Kremil Gel,dav.gov.vn,drug
VN-16802-13,Ginkor Fort,dav.gov.vn,drug
VN-19073-15,Eagle Brand Yellow Balm,dav.gov.vn,drug
VN-20251-17,Dầu Xanh con ó,dav.gov.vn,drug
QLSP-823-14,Normagut,dav.gov.vn,drug
QLSP-823-14,Livolin-H,dav.gov.vn,drug
VD-26127-17,Novotane Ultra,dav.gov.vn,drug
VD-26608-17,Tanganil,dav.gov.vn,drug
VN-17995-14,Yumangel,dav.gov.vn,drug
VN-17995-14,Yumangel,dav.gov.vn,drug
VN-16529-13,PM NextG Cal,dav.gov.vn,drug
VD-24676-16,Coldi - B,dav.gov.vn,drug
VD-24676-16,Coldi - B,dav.gov.vn,drug
VD-24676-16,Coldi - B,dav.gov.vn,drug
VD-24676-16,Coldi - B,dav.gov.vn,drug
VN-18654-15,Gaviscon Dual Action,dav.gov.vn,drug
VD-21886-14,Mỡ bôi ngoài da Hồng Linh Cốt,dav.gov.vn,drug
VD-21649-14,Bổ gan tiêu độc Livsin-94,dav.gov.vn,drug
VD-21649-14,Bổ gan tiêu độc Livsin-94,dav.gov.vn,drug
VD-24507-16,Cetirizin RVN,dav.gov.vn,drug
VD-24507-16,Cetirizin RVN,dav.gov.vn,drug
VD-21649-14,Bổ gan tiêu độc Livsin-94,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VN-14218-11,Stugeron,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-19655-16,Rigevidon,dav.gov.vn,drug
VN-18270-14,ANNA,dav.gov.vn,drug
VN-19438-15,Tràng Hoàng Vị Khang,dav.gov.vn,drug
VD-24532-16,Kachita,dav.gov.vn,drug
VD-26513-17,Meken,dav.gov.vn,drug
VD-26514-17,Lavenka,dav.gov.vn,drug
VD-26513-17,Meken,dav.gov.vn,drug
VD-26514-17,Lavenka,dav.gov.vn,drug
VD-26514-17,Lavenka,dav.gov.vn,drug
VD-26513-17,Meken,dav.gov.vn,drug
VD-26514-17,Lavenka,dav.gov.vn,drug
VD-24532-16,Kachita,dav.gov.vn,drug
VN-16996-13,Eagle Brand Muscle Rub,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-19023-15,Pharmaton,dav.gov.vn,drug
VN-19023-15,Pharmaton,dav.gov.vn,drug
VN-19023-15,Pharmaton,dav.gov.vn,drug
VN-18270-14,Anna,dav.gov.vn,drug
VD-24554-16,VNP Spray baby,dav.gov.vn,drug
VD-23326-15,Brometic,dav.gov.vn,drug
"VD-21505-14, VD-25023-16",Dismolan,dav.gov.vn,drug
VD-25221-16,Ngân kiều giảI độc Favomin,dav.gov.vn,drug
VN-15978-12,ENAT 400,dav.gov.vn,drug
VD-22473-15,Khang Minh Phong Thấp Nang,dav.gov.vn,drug
VD-22168-15,Khang Minh Thanh Huyết,dav.gov.vn,drug
VN-18026-14,Aerius,dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray,dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray,dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray,dav.gov.vn,drug
VD-25249-16,Tydol Plus,dav.gov.vn,drug
VD-13185-10,Salonship Gel Patch,dav.gov.vn,drug
VD-22387-15,Salonpas,dav.gov.vn,drug
VD-18885-13,Salonpas Pain Relief Path,dav.gov.vn,drug
VD-12075-10,Nutroplex,dav.gov.vn,drug
VD-12075-10,Nutroplex,dav.gov.vn,drug
VD-22829-15,Aluminium phosphat gel,dav.gov.vn,drug
VD-22830-15,Domperidon,dav.gov.vn,drug
VD-24304-16,Sâm nhung bổ thận TW3,dav.gov.vn,drug
VD-26608-17,Tanganil,dav.gov.vn,drug
VD-25820-16,Gastro - Max,dav.gov.vn,drug
VN-17803-14,Surbex-Z,dav.gov.vn,drug
VN-17803-14,Surbex-Z,dav.gov.vn,drug
VN-17803-14,Surbex-Z,dav.gov.vn,drug
VN2-500-16,Belara,dav.gov.vn,drug
VD-20945-14,Xoangspray,dav.gov.vn,drug
VD-20945-14,Xoangspray,dav.gov.vn,drug
VD-25440-16,Repamax Daytime,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN85-H12-16,29/6/2017  ,dav.gov.vn,drug
V85-H12-16,Điều kinh bổ huyết rong kinh thuỷ,dav.gov.vn,drug
VN-17085-13,Estraceptin,dav.gov.vn,drug
VN-11320-10,Clarityne Syrup,dav.gov.vn,drug
VD-24533-16,Kenvut,dav.gov.vn,drug
VD-25463-16,Xương khớp Nhất Nhất,dav.gov.vn,drug
VD-15958-11,Enervon (mẫu 2),dav.gov.vn,drug
VD-15958-11,Enervon (mẫu 1),dav.gov.vn,drug
VN-20196-16,Begesic,dav.gov.vn,drug
VN-15866-12,PM Cartisak,dav.gov.vn,drug
VN-15868-12,AB Extrabone-Care+,dav.gov.vn,drug
VN-20267-17,PM Eye Tonic,dav.gov.vn,drug
VD-19726-13,Nautamine,dav.gov.vn,drug
VN-18654-15,Gaviscon Dual Action,dav.gov.vn,drug
VN-19762-16,Systance Ultra,dav.gov.vn,drug
VN-17216-13,Systance Ultra UD,dav.gov.vn,drug
QLSP-906-15,Lacteol 340mg,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil (mẫu 1),dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil (mẫu 2),dav.gov.vn,drug
VN-18021-14,Nat B,dav.gov.vn,drug
VN-18021-14,Nat B,dav.gov.vn,drug
VD-26558-17,Bicimax,dav.gov.vn,drug
VD-16583-12,Colocol extra,dav.gov.vn,drug
VD-16583-12,Colocol extra,dav.gov.vn,drug
VD-16583-12,Colocol extra,dav.gov.vn,drug
VD-23882-15,Asapnano,dav.gov.vn,drug
VD-23293-15,Verni-Topbee,dav.gov.vn,drug
VD-23292-15,Verni-Teen 10,dav.gov.vn,drug
VD-22559-15,Robefil,dav.gov.vn,drug
VD-23293-15,Verni-Teen 20,dav.gov.vn,drug
VN-19599-16,Spulit,dav.gov.vn,drug
VN-19404-15,Tusligo,dav.gov.vn,drug
VN-18854-15,Regaxidil,dav.gov.vn,drug
VN-19037-15,Ofelta,dav.gov.vn,drug
VN-19079-15,Mealphin 7.5,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-18654-15,Gaviscon Dual Action,dav.gov.vn,drug
VN-18654-15,Gaviscon Dual Action,dav.gov.vn,drug
VD-22387-15,Salonpas,dav.gov.vn,drug
VD-18885-13,Salonpas Pain Relief Patch,dav.gov.vn,drug
VD-18885-13,Salonpas Pain Relief Patch (mẫu 15s),dav.gov.vn,drug
VD-22387-15,Salonpas (mẫu 15s),dav.gov.vn,drug
VN-8939-09,Pepsane,dav.gov.vn,drug
VN-18071-14,Strepsils Cool,dav.gov.vn,drug
VN-18071-14,Strepsils Cool,dav.gov.vn,drug
VN-18071-14,Strepsils Cool,dav.gov.vn,drug
VD-23414-15,Alaxan,dav.gov.vn,drug
VN-5680-10,Chophytol,dav.gov.vn,drug
VN-17216-13,Systane Ultra UD (mẫu 2),dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray,dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray (mẫu 3),dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray (mẫu 2),dav.gov.vn,drug
VN-20326-17,Betadine Throat Spray (mẫu 1),dav.gov.vn,drug
VN-18654-15,Gaviscon Dual Action,dav.gov.vn,drug
VD-26009-16,Telfor,dav.gov.vn,drug
VD-25820-16,Gastro-Max,dav.gov.vn,drug
VD-25048-16,Nasomom - 4 tinh dầu,dav.gov.vn,drug
VD-25049-16,Nasomom - 4 tinh dầu trẻ em,dav.gov.vn,drug
VN-19209-15,Yumangel F,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VD-19232-13,Ferlin,dav.gov.vn,drug
VD-25671-16,Panalganeffer 250,dav.gov.vn,drug
VN-19796-16,Clarityne,dav.gov.vn,drug
VD-22048-14,Maalox,dav.gov.vn,drug
VN-19796-16,Clarityne,dav.gov.vn,drug
VN-19796-16,Clarityne,dav.gov.vn,drug
VN-19655-16,Rigevidon 21+7,dav.gov.vn,drug
VD-19138-13,Osla,dav.gov.vn,drug
VN-19438-15,Tràng Hoàng Vị Khang,dav.gov.vn,drug
VN-16500-13,Fugacar,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VN-15730-12,Canesten,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VN158484,Canesten,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-24656-16,Maxedo,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VN-19386-15,Refresh Tears,dav.gov.vn,drug
VN-17216-13,Systane Ultra UD (mẫu 2),dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-17216-13,Systane Ultra UD (mẫu 1),dav.gov.vn,drug
VN-19762-16,Systane Ultra (mẫu 1),dav.gov.vn,drug
VN-19762-16,Systane Ultra (mẫu 2),dav.gov.vn,drug
VD-25463-16,Xương khớp Nhất Nhất (mẫu 1),dav.gov.vn,drug
VD-24533-16,Kenvut (mẫu 3),dav.gov.vn,drug
VD-24533-16,Kenvut (mẫu 2),dav.gov.vn,drug
VD-24533-16,Kenvut (mẫu 1),dav.gov.vn,drug
VD-25463-16,Xương khớp Nhất Nhất (mẫu 2),dav.gov.vn,drug
VD-25463-16,Xương khớp Nhất Nhất (mẫu 3),dav.gov.vn,drug
VN-10352-10,Fatig,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
VN-18480-14,Milgamma mono 150,dav.gov.vn,drug
VN-12829-11,Duphalac,dav.gov.vn,drug
V44-H12-16,GiảI nhiệt tiêu ban lộ,dav.gov.vn,drug
VD-17597-12,Cảm Xuyên Hương,dav.gov.vn,drug
VD-14755-11,Star sore throat,dav.gov.vn,drug
VD-17597-12,Cảm Xuyên Hương,dav.gov.vn,drug
VD-16316-12,Cảm Xuyên Hương,dav.gov.vn,drug
VD-16316-12,Cảm Xuyên Hương,dav.gov.vn,drug
VN-16488-13,Panadol,dav.gov.vn,drug
VD-21189-14,Panadol Extra,dav.gov.vn,drug
CVD-23717-15,Travicol,dav.gov.vn,drug
QLSP-954-16,Enterogran,dav.gov.vn,drug
QLSP-954-16,Enterogolds,dav.gov.vn,drug
VD-26513-17,Meken,dav.gov.vn,drug
VD-27322-17,Telfast BD,dav.gov.vn,drug
VD-27322-17,Telfast BD,dav.gov.vn,drug
VD-27322-17,Telfast BD,dav.gov.vn,drug
VD-18075-12,"Natri clorid 0,9%",dav.gov.vn,drug
VD-27322-17,Telfast BD,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-17535-13,Voltaren Emulgel,dav.gov.vn,drug
VN-17535-13,Voltaren Emulgel,dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb,dav.gov.vn,drug
VN-17535-13,Voltaren Emulgel,dav.gov.vn,drug
VN-17535-13,Voltaren Emulgel,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VD-24242-16,Lactosorbit,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-19180-15,Tiger Balm Oil,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VN-20359-17,Fatig,dav.gov.vn,drug
VD-24242-16,Lactosorbit,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VN-19964-16,Panadol Extra With Optizob,dav.gov.vn,drug
VN-19964-16,Panadol Extra With Optizob,dav.gov.vn,drug
VN-19964-16,Panadol Extra With Optizob,dav.gov.vn,drug
VN-19964-16,Panadol Extra With Optizob,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VD-16582-12,Panadol cảm cúm,dav.gov.vn,drug
VD-25956-16,Hoạt huyết Nhất Nhất,dav.gov.vn,drug
VD-28517-17,Cồn xoa bóp Nhất Nhất,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-28621-17,Crila,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VD-26913-17,Bổ Phế Nam Hà chỉ kháI lộ KĐ,dav.gov.vn,drug
VN-19485-15,Smecta,dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb,dav.gov.vn,drug
VN-16964-13,Phosphalugel,dav.gov.vn,drug
VD-22382-15,Decolgen ND,dav.gov.vn,drug
VD-21573-14,Decolgen Forte,dav.gov.vn,drug
VD-22382-15,Decolgen ND,dav.gov.vn,drug
VD-21573-14,Decolgen Forte,dav.gov.vn,drug
VN-18562-14,Sangobion,dav.gov.vn,drug
VN-18562-14,Sangobion,dav.gov.vn,drug
VN-18562-14,Sangobion,dav.gov.vn,drug
VN-18562-14,Sangobion,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
QLSP-0728-13,Enterogermina,dav.gov.vn,drug
VD-28621-17,Crila,dav.gov.vn,drug
VD-26211-17,Viên đại tràng Inberco,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-20945-14,XoangSpray,dav.gov.vn,drug
"QLSP-0794-14, QLSP-0795-14",Enterobella,dav.gov.vn,drug
VD-20198-13,EMAS,dav.gov.vn,drug
VN-16529-13,PM NextG Cal,dav.gov.vn,drug
VD-15303-11,TIFFY,dav.gov.vn,drug
VD-22506-15,Bakidol Extra,dav.gov.vn,drug
VN-19978-16,ACC 200,dav.gov.vn,drug
VN-19978-16,ACC 200,dav.gov.vn,drug
VN--19978-16,ACC 200,dav.gov.vn,drug
VN-19978-16,ACC 200,dav.gov.vn,drug
VD-18320-13,Cao Linh chi - Nhân sâm Lingzhi - Ginseng extract,dav.gov.vn,drug
VD-18321-13,Cao Linh chi Lingzhi extract,dav.gov.vn,drug
V595-H12-10,Thăng áp Nam Dược,dav.gov.vn,drug
V787-H12-10,Thuốc ho Nam Dược,dav.gov.vn,drug
VN-18026-14,Aerius,dav.gov.vn,drug
VD-21569-14,V.Rohto Vitamin,dav.gov.vn,drug
VN-18071-14,Strepsils Cool,dav.gov.vn,drug
VD-21569-14,V.Rohto Vitamin,dav.gov.vn,drug
QLSP-0793-14,NovoMix 30 Flexpen,dav.gov.vn,drug
"VN-18106-14, VN-18469-14",Stimol,dav.gov.vn,drug
VD-23274-15,Moriamin forte,dav.gov.vn,drug
VN-13299-11,Cefobid,dav.gov.vn,drug
VN-12601-11,Unasyn,dav.gov.vn,drug
VN-19165-15,Dermovate Cream,dav.gov.vn,drug
VN-19301-15,Zyvox,dav.gov.vn,drug
VN-16011-12,Amxoni,dav.gov.vn,drug
"VN-17125-13, VN-17124-13, VN-17126-13",Exjade,dav.gov.vn,drug
"VN-17125-13, VN-17124-13, VN-17126-13",Exjade,dav.gov.vn,drug
VN-17619-13,Benaxepa Expectorant,dav.gov.vn,drug
VN-18879-15,Plavix,dav.gov.vn,drug
VN-18791-15,Ventolin inlaler,dav.gov.vn,drug
VD-21984-14,Safena,dav.gov.vn,drug
VD-21984-14,Safena,dav.gov.vn,drug
VD-21984-14,Safena,dav.gov.vn,drug
VD-21985-14,Atorvastatin RVN 20,dav.gov.vn,drug
VD-21985-14,Atorvastatin RVN 20,dav.gov.vn,drug
VD-21985-14,Atorvastatin RVN 20,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
CD-25146-16,Companity,dav.gov.vn,drug
VD-23085-15,"Rhinex 0,05%",dav.gov.vn,drug
VD-22646-15,Thuốc ho Bảo Thanh,dav.gov.vn,drug
"VD-20777-14, VD-24817-16",Thuốc trị sỏi thận Kim Tiền Thảo,dav.gov.vn,drug
QLSP-955-16,Enterogolds,dav.gov.vn,drug
QLSP-954-16,Enterogran,dav.gov.vn,drug
"VD-20777-14, VD-24817-16",Kiện nhi Opsure,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
GC-274-17,Acemuc,dav.gov.vn,drug
VD-18156-12,Acemuc,dav.gov.vn,drug
GC-0136-11,Acemuc,dav.gov.vn,drug
VN-20129-16,Berocca Performance,dav.gov.vn,drug
VD-21160-14,V.Rohto Dryeye,dav.gov.vn,drug
VD-28517-17,Cồn xoa bóp Nhất Nhất,dav.gov.vn,drug
VD-24529-16,Tonka,dav.gov.vn,drug
VD-24529-16,Tonka,dav.gov.vn,drug
VD-25956-16,Hoạt huyết Nhất Nhất,dav.gov.vn,drug
VD-25956-16,Hoạt huyết Nhất Nhất,dav.gov.vn,drug
VD-28517-17,Cồn xoa bóp Nhất Nhất,dav.gov.vn,drug
VD-24529-16,Tonka,dav.gov.vn,drug
VN-17216-13,Systane Ultra UD (mẫu 1),dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-13678-10,Tanganil (mẫu 1),dav.gov.vn,drug
VN-18818-15,Marvelon,dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb,dav.gov.vn,drug
VN-15561-12,Otrivin (mẫu 1),dav.gov.vn,drug
VN-18818-15,Marvelon,dav.gov.vn,drug
VN-18818-15,Marvelon,dav.gov.vn,drug
VN-18818-15,Marvelon,dav.gov.vn,drug
VD-13678-10,Tanganil (mẫu 2),dav.gov.vn,drug
VD-18435-13,Ceginkton,dav.gov.vn,drug
VD-24304-16,Sâm nhung bổ thận Trung Ương 3,dav.gov.vn,drug
VN-17085-13,Estraceptin,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VN-13804-11,Ponstan,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-19429-13,Calcium corbiere,dav.gov.vn,drug
VD-23274-15,Moriamin forte (khổ A5),dav.gov.vn,drug
VD-23274-15,Moriamin forte (khổ A4),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 2),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 3),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 5),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 1),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 6),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 7),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb (mẫu 4),dav.gov.vn,drug
VN-19964-16,Panadol Extra with Optizorb,dav.gov.vn,drug
VD-22278-15,Calcium MKP 500 Effervescent,dav.gov.vn,drug
VD-23276-15,Repamax 500,dav.gov.vn,drug
VD-24348-16,Cerecaps,dav.gov.vn,drug
VD-23276-15,Repamax 500,dav.gov.vn,drug
VD-16192-12,Mộc Hoa Trắng HT,dav.gov.vn,drug
VD-19338-13,Rectiofar,dav.gov.vn,drug
VD-12811-10,Natri Clorid,dav.gov.vn,drug
VD-19138-13,Osla,dav.gov.vn,drug
VD-19138-13,Osla,dav.gov.vn,drug
VD-19138-13,Osla,dav.gov.vn,drug
VD-20314-13,Cesyrup,dav.gov.vn,drug
VD-23185-15,Mutecium-M,dav.gov.vn,drug
VD-20027-13,Maloxid P Gel,dav.gov.vn,drug
VD-14487-11,Disolvan,dav.gov.vn,drug
VD-17671-12,Dầu Khuynh Diệp Mekophar,dav.gov.vn,drug
VN-18937-15,Crinone,dav.gov.vn,drug
VN-19849-16,"Harnal Ocas 0,4mg",dav.gov.vn,drug
VN-16193-13,Vesicare 5mg,dav.gov.vn,drug
VN-18668-15,Hydrosol Polyvitamine Pharma Developpement,dav.gov.vn,drug
QLĐB-563-16,Febustad 80,dav.gov.vn,drug
VN-19294-15,Aclasta,dav.gov.vn,drug
VN-5169-08,Albothyl,dav.gov.vn,drug
"VN-17801-14, VN-9910-10",Aluvia,dav.gov.vn,drug
"VD-23500-15, VD-23501-15","Zasemer 1g, Zasemer 2g",dav.gov.vn,drug
"VD-23498-15, VD-23499-15","Dysteki 1g, Dysteki 2g",dav.gov.vn,drug
"VD-24119-16, VD-24120-16","Cebuten 200mg, Cebuten 400mg",dav.gov.vn,drug
VN-20022-16,Glucovance,dav.gov.vn,drug
VN-20022-16,Glucovance,dav.gov.vn,drug
